,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
1964,0.000105,0.627,223213.0,0.489,0.00283,6.0,0.0537,1.0,-7.52,119.201,4.0,0.0557,0.543
1965,0.00147,0.776,250173.0,0.968,0.0,4.0,0.204,0.0,-4.25,97.765,4.0,0.0914,0.667
1966,0.187,0.485,269667.0,0.629,0.0,9.0,0.0516,1.0,-3.967,167.733,4.0,0.0263,0.426
1967,0.0805,0.727,288696.0,0.9,0.0464,8.0,0.154,1.0,-4.529,131.97,4.0,0.0452,0.505
1968,0.673,0.833,222373.0,0.633,1.1e-05,0.0,0.0546,1.0,-2.824,115.007,3.0,0.0349,0.973
1969,0.627,0.68,147293.0,0.258,0.0,9.0,0.293,1.0,-11.995,132.056,4.0,0.0554,0.781
1970,0.00764,0.586,210333.0,0.674,0.0777,11.0,0.243,1.0,-5.69,86.5,4.0,0.0246,0.395
1971,0.0474,0.697,265133.0,0.275,0.00142,1.0,0.183,1.0,-9.812,160.074,4.0,0.0837,0.396
1972,0.0254,0.722,275696.0,0.519,0.0,4.0,0.386,0.0,-7.833,74.379,4.0,0.272,0.824
1973,0.992,0.571,126642.0,0.234,0.938,9.0,0.109,0.0,-18.288,91.993,3.0,0.0575,0.958
1974,0.0456,0.515,236547.0,0.867,0.0,11.0,0.138,1.0,-5.438,129.961,4.0,0.106,0.523
1975,0.279,0.667,240653.0,0.726,0.0,11.0,0.11,1.0,-4.857,148.168,4.0,0.077,0.196
1976,0.000623,0.203,179813.0,0.758,0.00034,3.0,0.167,0.0,-5.297,185.137,3.0,0.0468,0.333
1977,0.00554,0.786,208200.0,0.622,0.0,2.0,0.0866,1.0,-5.035,120.046,4.0,0.0734,0.875
1978,0.0331,0.601,210156.0,0.724,7.11e-06,7.0,0.0628,1.0,-5.582,179.981,4.0,0.0633,0.453
1979,0.0826,0.838,219638.0,0.805,3.77e-06,10.0,0.0778,0.0,-2.723,115.026,4.0,0.0541,0.952
1980,3.56e-05,0.498,235653.0,0.841,0.224,0.0,0.136,1.0,-5.239,94.047,4.0,0.0362,0.397
1981,0.282,0.802,253560.0,0.423,3.96e-05,5.0,0.0723,0.0,-8.214,73.103,4.0,0.107,0.537
1982,0.0762,0.384,187238.0,0.908,0.0,10.0,0.328,0.0,-5.517,84.29,4.0,0.325,0.67
1983,0.0244,0.816,293240.0,0.707,0.000142,6.0,0.0469,0.0,-8.601,123.084,4.0,0.0363,0.922
1984,0.197,0.752,271600.0,0.479,0.00029,10.0,0.0958,0.0,-10.989,80.536,4.0,0.146,0.897
1985,0.516,0.42,283067.0,0.726,0.0,3.0,0.0907,0.0,-7.113,76.585,4.0,0.415,0.316
1986,0.923,0.36,250200.0,0.467,0.178,11.0,0.622,1.0,-11.507,119.947,4.0,0.0366,0.0754
1987,0.000102,0.552,198707.0,0.901,0.189,11.0,0.0387,0.0,-4.313,102.507,4.0,0.0672,0.77
1988,0.217,0.581,192160.0,0.63,0.0,10.0,0.111,1.0,-8.032,86.063,4.0,0.0459,0.326
1989,0.0779,0.693,268493.0,0.889,0.0,11.0,0.095,0.0,-2.78,79.996,4.0,0.322,0.756
1990,0.205,0.454,342829.0,0.668,0.000841,6.0,0.0938,0.0,-5.821,85.994,4.0,0.03,0.168
1991,0.00823,0.329,171360.0,0.59,0.0,1.0,0.0949,0.0,-5.453,72.416,4.0,0.0304,0.235
1992,0.528,0.642,220733.0,0.706,8.59e-05,3.0,0.354,1.0,-8.114,100.644,4.0,0.028,0.829
1993,0.431,0.525,239213.0,0.627,0.0,7.0,0.0927,1.0,-6.59,111.026,3.0,0.0335,0.235
1994,0.26,0.706,129427.0,0.843,0.0,8.0,0.0732,1.0,-2.95,168.984,3.0,0.32,0.961
1995,0.00724,0.323,153907.0,0.519,0.000451,2.0,0.0978,0.0,-5.475,169.961,4.0,0.0362,0.0396
1996,0.317,0.431,227613.0,0.657,0.0,5.0,0.0893,1.0,-5.12,142.527,4.0,0.0304,0.259
1997,0.0122,0.739,233520.0,0.902,2.71e-05,2.0,0.315,1.0,-7.052,74.008,4.0,0.184,0.894
1998,0.00361,0.535,204526.0,0.962,0.0,11.0,0.163,1.0,-3.453,144.984,4.0,0.0638,0.687
1999,0.0279,0.696,195947.0,0.674,0.0,11.0,0.491,1.0,-7.142,77.496,4.0,0.115,0.533
2000,0.0703,0.716,386907.0,0.531,0.0,7.0,0.224,1.0,-7.355,71.994,4.0,0.122,0.344
2001,0.0272,0.913,234093.0,0.603,0.000503,8.0,0.167,1.0,-4.892,123.061,4.0,0.226,0.497
2002,0.0361,0.772,246213.0,0.413,0.0,0.0,0.111,0.0,-8.193,131.965,4.0,0.089,0.211
2003,0.932,0.612,213827.0,0.28,0.0,0.0,0.088,1.0,-8.648,72.795,4.0,0.0434,0.387
2004,3.81e-05,0.403,236293.0,0.965,0.000276,6.0,0.341,1.0,-2.238,112.363,4.0,0.0964,0.431
2005,0.049,0.726,233478.0,0.698,0.0,5.0,0.309,1.0,-4.165,143.994,4.0,0.0431,0.867
2006,0.00301,0.471,177280.0,0.924,0.0,8.0,0.313,1.0,-3.906,154.961,4.0,0.0586,0.725
2007,0.00294,0.501,190846.0,0.765,0.49,6.0,0.184,0.0,-7.063,91.771,4.0,0.0281,0.46
2008,0.0384,0.72,175427.0,0.791,0.0,1.0,0.157,1.0,-4.689,102.071,4.0,0.124,0.756
2009,0.19,0.505,175200.0,0.71,0.00025,3.0,0.329,1.0,-3.015,89.938,4.0,0.0321,0.428
2010,0.409,0.721,200747.0,0.339,0.00153,0.0,0.0973,1.0,-11.195,129.83,4.0,0.0532,0.2
2011,0.794,0.685,163133.0,0.466,2.06e-06,0.0,0.0915,1.0,-9.074,79.936,4.0,0.0304,0.353
2012,0.009,0.726,199987.0,0.787,0.0,4.0,0.0596,1.0,-2.494,124.99,4.0,0.0737,0.888
2013,0.468,0.631,230693.0,0.774,0.0,11.0,0.281,1.0,-2.459,79.745,4.0,0.3,0.44
2014,0.00627,0.577,247800.0,0.447,0.00022,8.0,0.0899,1.0,-5.892,74.236,4.0,0.277,0.189
2015,0.365,0.479,252733.0,0.545,0.0,7.0,0.0963,1.0,-7.346,74.897,4.0,0.0688,0.243
2016,0.0295,0.581,204160.0,0.963,0.0,11.0,0.139,1.0,-4.087,129.992,4.0,0.0981,0.788
2017,0.157,0.779,300160.0,0.572,0.0,6.0,0.246,0.0,-9.985,135.956,4.0,0.378,0.647
2018,0.02,0.378,250627.0,0.638,7.66e-05,10.0,0.0849,1.0,-5.576,184.086,4.0,0.075,0.735
2019,0.0291,0.641,258343.0,0.922,0.0,2.0,0.0862,1.0,-4.457,146.078,4.0,0.0786,0.847
2020,0.106,0.448,186813.0,0.784,0.000108,9.0,0.668,1.0,-3.686,136.245,4.0,0.0627,0.236
2021,0.508,0.71,256320.0,0.598,0.0,5.0,0.0971,0.0,-7.598,119.981,4.0,0.0319,0.501
2022,0.0152,0.587,310720.0,0.698,0.0,1.0,0.442,1.0,-8.948,133.954,4.0,0.0943,0.0985
2023,0.0114,0.783,193400.0,0.58,2.28e-06,7.0,0.108,1.0,-6.548,120.021,4.0,0.0408,0.66
2024,0.0477,0.566,264773.0,0.647,0.0,1.0,0.121,0.0,-6.815,111.96,4.0,0.0335,0.22
2025,0.096,0.615,227080.0,0.658,0.000911,5.0,0.205,1.0,-7.299,150.093,4.0,0.0343,0.293
2026,0.0191,0.457,208960.0,0.948,0.0,10.0,0.0536,1.0,-3.364,148.0,4.0,0.0354,0.878
2027,0.0412,0.874,178560.0,0.692,7.24e-05,5.0,0.324,0.0,-5.28,116.017,4.0,0.0431,0.937
2028,0.000972,0.707,206413.0,0.924,0.00703,7.0,0.204,1.0,-2.842,127.937,4.0,0.031,0.919
2029,0.123,0.716,313787.0,0.485,2.69e-05,1.0,0.604,1.0,-7.745,74.132,4.0,0.404,0.26
2030,0.00498,0.711,211920.0,0.7,0.000125,1.0,0.215,0.0,-4.805,128.001,4.0,0.046,0.801
2031,0.0206,0.457,266600.0,0.757,0.0,1.0,0.146,1.0,-5.177,102.961,4.0,0.032,0.417
2032,0.317,0.652,312427.0,0.549,0.0,6.0,0.104,0.0,-7.555,120.073,4.0,0.039,0.186
