,Track_ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
103,6BaxqcoEM9r3LXisTyJjST,64,0.128,0.442,215747.0,0.83,0.0,9.0,0.129,1.0,-4.02,89.338,4.0,0.146,0.578
104,75L0qdzRnhwV62UXoNq3pE,65,0.00782,0.606,234333.0,0.811,1.49e-05,7.0,0.349,1.0,-4.667,156.347,4.0,0.278,0.276
105,40i81AcCCxiVEFUWElcjZC,68,0.00238,0.387,198080.0,0.929,7.22e-06,7.0,0.314,0.0,-4.825,180.359,4.0,0.161,0.591
106,4BycRneKmOs6MhYG9THsuX,65,0.0211,0.627,208947.0,0.614,0.0,6.0,0.0286,0.0,-6.006,96.038,4.0,0.17,0.758
107,6d9IiDcFxtFVIvt9pCqyGH,64,0.0396,0.605,260933.0,0.787,1.42e-06,5.0,0.163,1.0,-3.002,114.987,4.0,0.0308,0.374
108,79gkHjNTSyGPXEyGkNQ8zH,70,0.0104,0.821,200347.0,0.819,5.49e-05,1.0,0.145,1.0,-3.627,126.03,4.0,0.0272,0.893
109,215FCyLSBcXeX0NASXEjyn,64,0.0167,0.41,284960.0,0.9,1.09e-05,0.0,0.339,0.0,-4.249,176.962,4.0,0.0656,0.558
110,1By2VQkUN0Frd8mKNV5NYC,64,0.0139,0.516,217160.0,0.917,6.37e-06,11.0,0.36,0.0,-3.186,145.821,4.0,0.0827,0.635
111,0U0ldCRmgCqhVvD6ksG63j,72,0.00842,0.532,258413.0,0.874,0.012,9.0,0.452,0.0,-5.183,91.038,4.0,0.0482,0.361
112,4SE4yewyGpOYfxfx59Yjc5,70,0.234,0.679,279013.0,0.908,0.0,8.0,0.0821,1.0,-3.411,85.918,4.0,0.202,0.687
113,27RYrbL6S02LNVhDWVl38b,72,0.28,0.321,214333.0,0.64,0.0,2.0,0.718,1.0,-10.023,146.172,3.0,0.0324,0.414
114,3fpTMuD1u3gJlVI4FadVHs,64,0.332,0.53,319387.0,0.884,1.98e-06,0.0,0.355,0.0,-5.581,87.194,4.0,0.457,0.28
115,1DqdF42leyFIzqNDv9CjId,64,0.00332,0.754,203867.0,0.804,0.0,4.0,0.0329,1.0,-3.177,119.968,4.0,0.0853,0.818
116,6klpXs2uAjagnZMFkt4qkl,68,0.829,0.281,224240.0,0.139,0.0,5.0,0.0725,1.0,-14.392,92.64,4.0,0.0305,0.169
117,4nVyHATevhl5RC6Qmoko5H,65,0.0209,0.646,231787.0,0.94,0.0,10.0,0.0691,0.0,-2.856,129.011,4.0,0.0838,0.704
118,1rKBOL9kJfX1Y4C3QaOvRH,64,0.0987,0.614,201040.0,0.857,0.0,1.0,0.177,0.0,-4.171,164.146,4.0,0.111,0.677
119,6KBYk8OFtod7brGuZ3Y67q,63,0.000315,0.704,216200.0,0.81,0.0,4.0,0.216,0.0,-4.874,102.98,4.0,0.0425,0.726
120,07p0kLnvfQQ2bLujHyzSGK,70,0.0749,0.73,223200.0,0.867,6.81e-06,7.0,0.0712,1.0,-1.946,130.02,4.0,0.0325,0.929
121,7ElF5zxOwYP4qVSWVvse3W,74,0.0327,0.607,201547.0,0.934,0.0,3.0,0.0909,1.0,-4.217,122.01,4.0,0.0314,0.568
122,0JcKdUGNR7zI4jJDLyYXbi,64,0.329,0.702,247587.0,0.795,0.0,1.0,0.0505,1.0,-4.764,83.961,4.0,0.0568,0.836
123,6jg5SRvdGxvJ0DzNV0UqEK,66,0.00296,0.699,196813.0,0.882,0.0544,4.0,0.13,0.0,-3.896,120.016,4.0,0.0311,0.657
124,6bGac1gBHs7kUKihrudMzq,65,0.00205,0.452,237400.0,0.964,5.31e-06,6.0,0.205,1.0,-2.877,144.048,4.0,0.0792,0.464
125,5BB0Jzw60KyfSTyjJqtely,69,0.000264,0.411,205960.0,0.986,0.00148,8.0,0.371,0.0,-2.522,165.981,4.0,0.0583,0.649
126,3RBluWmSoG2pGA1OePzGJI,63,0.00478,0.543,265667.0,0.818,0.000368,4.0,0.0357,1.0,-3.611,139.898,4.0,0.0398,0.683
127,4xInIiKipU1mtUogJ3ZdYr,64,0.508,0.588,224867.0,0.684,0.0,1.0,0.141,1.0,-5.154,85.997,4.0,0.0288,0.121
128,4o6k1XHlrIZay8v1m5VU83,68,0.00077,0.373,263080.0,0.903,5.86e-06,10.0,0.244,1.0,-4.49,109.121,3.0,0.083,0.43
129,7bHT9osSq1rwT2yaImzqCi,70,0.119,0.522,299507.0,0.932,0.0,11.0,0.177,1.0,-2.87,129.473,4.0,0.255,0.33
130,0T8P86fvSK8kCUJFYPZbIH,66,0.000263,0.425,197200.0,0.983,0.0,10.0,0.114,1.0,-3.437,149.95,4.0,0.114,0.513
131,5zGqTc1WQUe8XqqdnrpKTV,63,0.224,0.612,207040.0,0.791,0.0,6.0,0.112,1.0,-3.519,133.977,4.0,0.0291,0.786
132,4ZlQzskKkK4jsbcqO96luB,68,0.0867,0.55,222404.0,0.884,1.55e-05,9.0,0.68,1.0,-5.508,145.029,4.0,0.0363,0.549
133,4kkeuVl6gF3RMqE4Nn5W3E,64,0.0178,0.602,206373.0,0.863,0.0,5.0,0.389,0.0,-5.423,150.183,4.0,0.0773,0.732
134,3pYDZTJM2tVBUhIRifWVzI,68,0.00334,0.753,219973.0,0.729,5.66e-05,11.0,0.073,0.0,-3.862,120.013,4.0,0.0392,0.812
135,12PNcnMsjsZ3eHm62t8hiy,68,0.0139,0.545,232507.0,0.781,0.0,10.0,0.161,1.0,-3.616,150.097,4.0,0.185,0.277
136,3a6PN6BRB8PP3ms48s7kU1,69,0.181,0.601,283573.0,0.772,0.0543,0.0,0.0928,0.0,-4.137,99.445,4.0,0.031,0.294
137,5BoIP8Eha5hwmRVURkC2Us,62,0.0266,0.762,199027.0,0.748,0.0,0.0,0.348,0.0,-4.15,110.009,4.0,0.033,0.851
138,3GBApU0NuzH4hKZq4NOSdA,64,0.00073,0.563,191707.0,0.739,1.45e-05,6.0,0.0822,0.0,-4.239,139.0,4.0,0.0416,0.775
139,5uHYcK0nbEYgRaFTY5BqnP,65,0.0127,0.549,196133.0,0.932,0.0,8.0,0.347,0.0,-4.11,82.439,4.0,0.343,0.787
140,4JsDHMv5PVO8N07DbDq33r,67,2.58e-05,0.349,202640.0,0.981,0.0,2.0,0.343,0.0,-3.228,160.042,4.0,0.141,0.207
141,2Adn2LNgkHMH5TelQVAu4n,64,0.203,0.666,243920.0,0.87,0.0,11.0,0.0851,0.0,-5.004,160.014,4.0,0.246,0.9
142,2M9ULmQwTaTGmAdXaXpfz5,71,0.297,0.633,211160.0,0.673,0.0,6.0,0.206,0.0,-6.403,86.776,4.0,0.258,0.659
143,2nAHmQV9WKA6c1emQilxih,62,0.67,0.473,234400.0,0.423,0.0,0.0,0.149,1.0,-9.065,170.035,4.0,0.0294,0.458
144,65UCejW01DAovmluVYHWAt,64,0.479,0.553,223827.0,0.619,0.0,3.0,0.123,1.0,-7.101,183.908,4.0,0.0308,0.376
145,25nzKGDiua1lE9Qo5V19GL,66,5.63e-05,0.579,246600.0,0.865,0.000221,6.0,0.649,1.0,-4.692,104.99,4.0,0.0302,0.358
146,6Ozp6ac86CSHMik8lbvJuM,62,0.0203,0.535,217387.0,0.725,1.45e-05,10.0,0.176,1.0,-5.108,78.489,4.0,0.0275,0.292
147,17X2tSzibD9n9QRjdExcWT,62,0.069,0.487,218200.0,0.736,0.0,7.0,0.114,1.0,-3.269,81.587,4.0,0.0326,0.184
148,6nAlJuLlRlpAcq30xIqKJs,80,0.0398,0.891,190512.0,0.78,0.0,2.0,0.0548,0.0,-6.416,95.998,4.0,0.0701,0.931
149,0WCiI0ddWiu5F2kSHgfw5S,68,4.14e-05,0.729,215200.0,0.675,0.00126,5.0,0.0867,0.0,-5.292,125.036,4.0,0.0286,0.74
150,6PmjWl0phNxc0R5OwkDdiZ,66,0.317,0.539,256867.0,0.424,0.0,11.0,0.108,1.0,-9.361,118.071,4.0,0.0406,0.17
151,6MDTpYxPFL0wtFd0pjfKws,62,0.356,0.531,200200.0,0.542,0.0,8.0,0.119,1.0,-7.721,171.878,4.0,0.0432,0.726
152,0158TMiGmHyibaDeaUKayX,62,0.00643,0.635,209253.0,0.758,0.0,7.0,0.229,1.0,-5.772,113.002,4.0,0.0243,0.322
153,3rLIv187BhjyweFe89SgLn,69,0.00249,0.714,220920.0,0.833,0.0,5.0,0.298,1.0,-5.239,129.964,4.0,0.0259,0.663
154,54rKMg72DsfDUaYjL83Jm8,62,0.369,0.563,183507.0,0.529,2.24e-05,2.0,0.0851,1.0,-6.495,148.074,4.0,0.0252,0.398
155,7AqISujIaWcY3h5zrOqt5v,63,0.134,0.696,222733.0,0.875,0.0,0.0,0.159,1.0,-3.682,127.39,4.0,0.0649,0.772
156,25GC50HslaaruyrKjdu0lP,67,8.07e-05,0.569,291427.0,0.883,7.74e-05,2.0,0.0883,0.0,-4.41,134.001,4.0,0.0748,0.373
157,6d67Xv8ms2noA8wWFLiPDN,67,0.158,0.386,228800.0,0.826,0.000489,11.0,0.101,0.0,-7.847,187.094,4.0,0.114,0.376
158,7zKlSAsmB3p5959tsmLeqn,62,0.427,0.769,179907.0,0.678,8.04e-06,5.0,0.0939,1.0,-3.725,106.951,4.0,0.0315,0.581
159,0sHW1jXe6Sou3437gJQNGA,69,0.0417,0.668,278640.0,0.886,0.0,0.0,0.459,1.0,-3.474,142.002,4.0,0.117,0.503
160,1T8PwF3JhIiWwBhun23RNe,69,0.385,0.6,226533.0,0.624,0.0,8.0,0.125,1.0,-3.631,90.036,4.0,0.0334,0.529
161,5oHHMDcVOmPSFrCgdbHPdb,65,0.208,0.713,230133.0,0.772,0.0,2.0,0.211,1.0,-6.69,125.202,4.0,0.0372,0.88
162,6vVftwBiIaM9xDVZhSwTCJ,64,0.556,0.522,175783.0,0.725,0.0,5.0,0.799,0.0,-5.184,108.36,4.0,0.302,0.81
163,2MWOqewf5j0qf2b6S5J6cS,67,0.834,0.461,205453.0,0.267,2.03e-05,0.0,0.107,1.0,-8.514,87.918,4.0,0.0278,0.481
164,6Slt6WiWnriaqCb8xXb2ZT,65,0.0445,0.562,212347.0,0.414,0.0,7.0,0.204,1.0,-7.032,155.826,4.0,0.349,0.474
165,1lOSxJNCLvWm2bYaTcTSmK,64,0.829,0.403,190440.0,0.259,1.61e-06,5.0,0.0451,1.0,-11.371,69.283,4.0,0.166,0.473
